id,name,time_cook,level_recipe,description,preparation,created_at,updated_at,img,user_id,category_id
1,"Pollo con verduras chinas ",35,2,"Delicioso pollo de verduras chinas y arroz ","PASO 1 Corta la pechuga
Pon en una tabla la pechuga de pollo, con un cuchillo córtala en tiras delgadas, añade el ajo finamente picado y con las manos mezcla hasta integrar bien.

PASO 2 Cocina el pollo
En una sartén calienta el aceite por 3 minutos, adiciona el pollo y sofríe por 7 minutos aproximadamente o hasta que esté bien dorado, luego, retira del fuego y reserva.

PASO 3 Saltea los vegetales
En la misma sartén sofríe los pimentones y la zanahoria por 2 minutos, luego agrega el brócoli, las raíces chinas, y saltea por 1 minuto más.

PASO 4 
Adiciona el agua, con la cuchara mezcla hasta integrar bien, deja al fuego hasta que hierva y espese.

PASO 5 Mezcla el pollo y los vegetales
Por último agrega el pollo a los vegetales y mezcla para integrar bien.

PASO 6 Sirve
En cada plato pon una porción de arroz en partes iguales, encima el chop suey de vegetales con el pollo y por último espolvorea a cada plato un poco de ajonjolí","2022-09-15 10:28:49","2022-09-15 10:28:49",https://images.aws.nestle.recipes/resized/fc83bff87645030bd147e9f17772dec9_fff18965f914c690d97822a0912a1e9e_pollo-verduras-chinas-1920x1005_1200_600.jpg,1,9
3,"Espagueti con salsa de albóndigas y vegetales",37,2,"Espagueti con salsa de albóndigas y vegetales","PASO 1 Cocina la pasta
En una olla de fondo alto agrega 8 tazas de agua con 1/2 cucharada de aceite, lleva a fuego alto hasta que el agua hierva, agrega la pasta y deja cocinar por 9 minutos, pasado el tiempo de cocción retira del fuego, escurre el agua en un colador y reserva.

PASO 2 Arma las albóndigas
En un tazón mezcla la carne, el perejil y el huevo hasta integrar bien, arma bolitas pequeñas y reserva hasta el momento de usar.

PASO 3 Cocina las albóndigas
En una sartén de fondo alto sofríe con una cucharada de aceite las albóndigas, retíralas y reserva, en la misma sartén agrega el ajo, el tomate, 1/2 pimentón, la taza de agua restante , deja a fuego 5 minutos, incorpora la menta, las hojas de apio y las albóndigas, deja al fuego durante 10 minutos aproximadamente, retira y reserva.

PASO 4 Saltea los vegetales
En una sartén bien caliente saltea con la cucharada de aceite restante el zuchini, el pimentón restante, la zanahoria y los champiñones agregando al mismo tiempo . Retira y reserva.

PASO 5 Sirve
Sirve una porción de pasta y encima una porción de albóndigas con la salsa y los vegetales.
","2022-09-15 10:40:43","2022-09-15 10:40:43",https://i.pinimg.com/236x/a2/17/81/a217810658610ad69a1550d0d71b5929.jpg,1,6
4,"Canelones rellenos en salsa boloñesa",25,2,"Canelones rellenos en salsa boloñesa","En una sartén a fuego medio calienta el aceite por 3 minutos, añade el ajo, la cebolla, el pimentón y sofríe por 1 minuto, adiciona la carne molida y cocina por 3 minutos sin dejar de revolver; luego, agrega el apio, la espinaca, los champiñones, el perejil y sofríe por 2 minutos revolviendo constantemente, por último,  y el agua, mezcla hasta integrar bien, cocina por 4 minutos o hasta que la carne esté bien cocinada y la salsa espese.

PASO 3 Rellena, hornea y sirve
Pasa los canelones por agua tibia durante 3 minutos, rellénalos con parte de la carne y báñalos con la carne sobrante encima, en un tazón mezcla la CREMA DE LECHE NESTLÉ®, el queso parmesano y esparce encima de los canelones.
Llévalos a una refractaria previamente engrasada y hornea por 10 a 15 minutos aproximadamente o hasta que estén gratinados, retira del horno y sirve.
","2022-09-15 10:46:22","2022-09-15 10:46:22",https://images.aws.nestle.recipes/resized/c0109645f3b974d54fe598526ff90024_canelloni-en-salsa-bolognesa_1200_600.jpg,1,6
5,"Hamburguesa de pollo apanado ",45,2,"Hamburguesa de pollo apanado ","PASO 1 Marina el pollo
En un tazón bate los huevos con la leche  y marina los filetes de pechuga con la mostaza por 10 minutos.

PASO 2 Apana el pollo
Pon en un tazón, la harina de avena y en otro la harina de almendras, pasa los filetes de pechuga primero por la harina de avena, seguido del huevo y por último por la harina de almendras, así hasta terminar con todos los filetes de pechuga.

PASO 3 Hornea el pollo
Lleva los filetes al congelador por 30 minutos aproximadamente, pasado el tiempo de frio, retira los filetes de pechuga y pon en la Air Fryer o en el horno a 180°C durante 20 minutos aproximadamente o hasta que estén bien dorados y cocinados.

PASO 4 Arma las hamburguesas
Abre los panes de hamburguesa a la mitad, y rellena con 2 rodajas de tomate, una hoja de lechuga, un filete de pechuga y una lonja de queso.
Pon en un tazón, la harina de avena y en otro la harina de almendras, pasa los filetes de pechuga primero por la harina de avena, seguido del huevo y por último por la harina de almendras, así hasta terminar con todos los filetes de pechuga.
","2022-09-15 11:31:29","2022-09-15 11:31:29",https://images.aws.nestle.recipes/resized/6f8471cb2d8e5ef78376dd6027a6752f_hamburguesa_de_pollo_apanado_1200_600.jpg,1,7
6,"Pollo jugoso en salsa de aguacate ",24,1,"Pollo jugoso en salsa de aguacate ","PASO 1 Cocina el pollo
Coloca los filetes de pollo a marinar en las especias y lleva a una sartén a fuego medio 8 minutos por cada lado.

PASO 2 Prepara la salsa
En una licuadora coloca el aguacate junto con el jugo de limón , el cilantro,  y procesa hasta hacer salsa, retira de la licuadora y con ayuda de un abatidor de mano integra la CREMA DE LECHE NESTLÉ.

PASO 3 Alista la pasta
En otro sartén derrite la mantequilla, adiciona la pasta corta, e integra bien para servir.

PASO 4 Sirve
En una tabla porciona el pollo en 4 raciones, sirve en una cama de pasta y baña con la salsa de aguacate.
","2022-09-15 11:36:27","2022-09-15 11:36:27",https://tse3.mm.bing.net/th?id=OIP.EQQdxfZtDX8y_aphLSpqPAHaFV&pid=Api&P=0,1,4
7,"Ensalada mexicana ",75,3,"Ensalada mexicana ","PASO 1 Calienta el horno
Precalienta el horno a 180°C/ 360°F, 10 minutos antes de terminar la preparación.

PASO 2 Marina el cerdo
Pon la pierna de cerdo en una refractaria apta para horno y marina la pierna de cerdo.

PASO 3 Licúa
Licúa el zumo de naranja, el achiote, el vinagre y el chile habanero, hasta integrar. Baña con esta mezcla la pierna de cerdo.

PASO 4 Hornea
Por los lados de la refractaria pon la zanahoria, la cebolla cabezona, lleva la refractaria a horno tapada con papel aluminio los primeros 40 minutos, después quita el papel y cocina la cochinita pibil hasta que dore.

PASO 5 Deja enfriar
Pasado el tiempo de cocción, retira del horno, deja enfriar un poco antes de desmechar.

PASO 6 Prepara la salsa
Mezcla la crema de leche el suero y el zumo de limón hasta integrar.

PASO 7 Prepara el pico de gallo
En un tazón mezcla el tomate la cebolla, el cilantro, el zumo de limón, el aceite de oliva y los jalapeños hasta integrar bien.

PASO 8 Sirve
En el frasco pon por capas lechuga, frijoles, queso, cochinita pibil, aguacate, pico de gallo, nachos y encima la crema agria, todo en partes iguales.","2022-09-15 11:45:33","2022-09-15 11:45:33",https://images.aws.nestle.recipes/resized/0db35c941a0b0439b438f5c274de96a8_NACHOS_CON_DIP_DE_CHILE_SERRANO_1200_600.jpg,1,2
8,"Ensalada tropical ",30,1,"Ensalada tropical ","Paso 1: Mezcla
En una ensaladera mezcla hasta integrar el melón, las fresas, los duraznos y los arándanos. Reserva.

Paso 2: Agrega
Agrega leche condensada y la crema de leche mezcla hasta integrar.

Paso 3: Sirve y decora
Vierte en copas, agrega el campesino rallado encima y decora con las hojas de menta.
","2022-09-15 11:48:33","2022-09-15 11:48:33",https://images.aws.nestle.recipes/resized/1655152142351_2f626976-811c-6377-b9d8-ff0000673b69-490x252-b-principal_1200_600.png,1,4
9,"Burritos vegetarianos ",15,2,"Burritos vegetarianos ","
PASO 1 Saltea los vegetales
Corta los champiñones en láminas, la espinaca en tiras, el pimentón y la zanahoria en julianas, saltea en una sartén a fuego alto junto con el aceite y 1/2 cucharadita sazonador de tu preferencia. 

PASO 2 Prepara el aderezo
Licúa el queso ricotta, la crema de leche .

PASO 3 Arma y sirve
Unta cada tortilla de harina integral con un poco del aderezo y coloca en el centro vegetales salteados; forma los burritos doblando las puntas hacia adentro y luego enrolla, caliéntalos en una sartén que queden doraditos, retira del fuego y corta a la mitad. Sirve acompañado con mas aderezo.
","2022-09-15 11:52:49","2022-09-15 11:52:49",https://images.aws.nestle.recipes/resized/34C97376-811C-6377-B9D8-FF0000673B69-334x500-b-principal_1200_600.png,1,10
10,"Ceviche peruano de corvina",10,3,"Ceviche peruano de corvina","Para iniciar la receta vamos a filetear el pescado en caso de que lo hayan comprado entero. Les recomiendo sin embargo pedirle a su pescadería de confianza venderles los filetes de pescado ya listos para el empleo. Cuando los tengan los colocan en un refractario y los sazonan con sal y pimienta.

Ahora picamos la cebolla morada, la guindilla y el cilantro. Los colocamos en un cuenco en el que los mezclamos. Cortamos el pescado en trozos de unos cuatro a cinco centímetros de largo. Los agregamos entonces a los demás ingredientes junto con el jugo de los limones. Mezclamos bien todo y recubrimos con un papel de aluminio. Refrigeramos por unos 20 a 30 minutos.
","2022-09-15 11:57:46","2022-09-15 11:57:46",https://i.blogs.es/67e27c/01-ceviche-peruano-de-corvina/1366_2000.jpeg,1,8
11,"Sandwich Italiano ",20,1,"Sandwich Italiano ","PASO 1 Prepara el aderezo
Mezcla la mayonesa con mostaza y reserva.

PASO 2 Arma los sándwich
Unta cada uno de los panes con el aderezo preparado anteriormente, coloca una rodaja de queso y dos rodajas de tomate.

PASO 3 Cocina
Cocínalos en un sartén sin aceite o en el horno hasta que estén dorados de ambos lados.
","2022-09-15 12:00:49","2022-09-15 12:00:49",https://images.aws.nestle.recipes/resized/3a9e65f011c7bfb966555720ed1d1a08_Emparedado_Montaje_1200_600.jpg,1,6
12,"Pollo con almendras",30,1,"Pollo con almendras","Elaboración. Limpiamos bien las pechugas de pollo, retirando restos de tendones y grasa, y las cortamos en piezas de bocado. Sumergimos en pollo en una mezcla de salsa de soja, jengibre molido y azúcar moreno o, en su defecto, azúcar blanco. Dejamos reposar en la nevera durante al menos una hora, para que el pollo se impregne bien de la marinada y quede sabroso y jugoso. Mientras tanto preparamos el resto de ingredientes. Calentamos un poco de aceite en una sartén y freímos las almendras a fuego medio-alto hasta que estén doradas. Retiramos y reservamos. En el mismo aceite y sartén salteamos la cebolla y la zanahoria, previamente peladas y cortadas groseramente. Solo queremos que pierdan un poco de dureza, así que con dos o tres minutos será suficiente. Apagamos el fuego y devolvemos las almendras a la sartén. Reservamos hasta que el pollo esté marinado.","2022-09-15 12:06:22","2022-09-15 12:06:22",https://i.blogs.es/9abcb0/pollo-almendras/1366_2000.jpg,1,9
13,"Pollo con piña ",60,3,"Pollo con piña ","Elaboración. Mezclamos en un bol la harina de maíz con agua fría y batimos bien. Añadimos el huevo y el pimentón. Salpimentamos el pollo y mezclamos bien con la salsa. Freímos en tandas pequeñas, siempre en aceite muy caliente para que nos quede crujientes. Cortamos la piña en trocitos y los reservamos con el pollo. Para hacer la salsa llevamos a ebullición el zumo de piña y añadimos una cucharada de salsa soja espesa, o dark soya, el vinagre de arroz, el azúcar moreno y un pellizco de maizena -disuelto en un poco de agua fría-. Removemos durante un par de minutos y cuando ese jarabe o salsa empiece a espesar añadimos el pollo y los trozos de piña. Removemos suavemente durante dos o tres minutos y servimos con arroz.","2022-09-15 12:09:13","2022-09-15 12:09:13",https://i.blogs.es/f2f2ca/pollo-pina/1366_2000.jpg,1,7
14,"Rollitos primavera",60,3,"Rollitos primavera","Elaboración: Hidratamos los fideos de soja en un cuenco grande con abundante agua fría durante 30 minutos. Escurrimos bien los fideos, los secamos con un poco de papel absorbente, y los cortamos en piezas de tres o cuatro centímetros. Mientras esto ocurre preparamos todas las verduras: pelamos y rallamos los dientes de ajo y el jengibre, pelamos y picamos la cebolla y las zanahorias en pequeños dados, cortamos la col en tiras finas, limpiamos las setas, para retirar posibles restos de tierra, y las cortamos en láminas finas. Calentamos un poco de aceite de girasol en una sartén amplia y sofreímos el ajo y el jengibre a fuego fuerte durante un minuto, sin dejar que se doren. Añadimos la cebolla, la zanahoria y la col y salteamos un par de minutos. A continuación incorporamos las setas, los fideos y los brotes de soja, junto con la salsa de soja, el azúcar y pimienta blanca al gusto. Salteamos cinco minutos, retiramos del fuego y dejamos enfriar completamente antes de usar para rellenar. Montamos los rollitos extendiendo una lámina de papel de harina en la encimera y, sobre ella, colocamos una cucharada generosa del relleno Enrollar hasta el centro, doblamos las puntas derecha e izquierda hacia dentro y continuamos enrollando. Pincelamos el interior del papel de harina con un poco de huevo batido para que quede bien cerrado el rollito. Repetimos la operación con el resto de láminas de papel o hasta que se termine el relleno. Calentamos abundante aceite de girasol en una sartén honda y freímos los rollitos a fuego medio, volteando de vez en cuando para que se doren por igual por todos lados. Cuando estén crujientes y dorados, los retiramos y dejamos escurrir el exceso de aceite antes de servir.","2022-09-15 12:10:53","2022-09-15 12:12:55",https://i.blogs.es/561a27/rollitos/1366_2000.jpg,1,9
15,"Costillas agridulces",60,3,"Costillas agridulces","Elaboración. Pon las costillas en un bol con agua fría 10 minutos y escúrrelas. Embadúrnalas con el ajo muy picado, la sal, la cucharadita de azúcar, el vino de arroz y la salsa de soja. Marina 15 minutos. Prepara la salsa, mezclando el resto del azúcar moreno y el vinagre en un bol. Mezcla las costillas con los huevos batidos y la maizena. Calienta el aceite a 180º C. Fríe las costillas por tandas hasta que queden bien doradas y crujientes. Déjalas sobre papel de cocina. Retira casi todo el aceite del dejando solo una cucharada. Baja un pelín el fuego y añade la cebolla. Saltéala hasta que esté un poco tierna. Añade los pimientos y la salsa agridulce, y cocina todo dos o tres minutos, hasta que espese. Agrega las costillas y remueve todo hasta que se impregnen bien de salsa. Incorpora la piña escurrida y cortada en trozos, y sirve.","2022-09-15 12:19:23","2022-09-15 12:19:23",https://i.blogs.es/bccb0c/costillas/1366_2000.jpg,1,3
16,"Salteado de ternera picante al comino ",60,3,"Salteado de ternera picante al comino ","Elaboración. Mezclar todos los ingredientes del marinado, batiendo bien con un tenedor para deshacer los posibles grumos del almidón. Añadir la carne y mezclar. Tapar y dejar marinar al menos durante 30 minutos. Cortar el pimiento verde y el pimiento rojo en tiras de 1 cm de grosor, y luego trocear en piezas de un bocado. Picar el puerro y la guindilla, desechando las semillas. Picar muy finos el ajo y el jengibre. Calentar unas cucharadas de aceite en una sartén amplia o wok; dorar la carne unos minutos y retirar. Dorar en el mismo aceite el ajo y el jengibre. Añadir el puerro, los pimientos y la guindilla, salteando todo unos minutos. Incorporar la carne, salpimentar y aderezar con el comino y el chile en copos. Cocinar todo junto unos minutos más. Añadir el aceite de sésamo y las escalonias picadas y servir con arroz.","2022-09-15 12:25:54","2022-09-15 12:25:54",https://i.blogs.es/11ee33/ternera-salteada/1366_2000.jpg,1,1
17,"Tallarines a la marinera ",45,2,"Tallarines a la marinera ","Cómo hacer tallarines a la marinera
Para preparar los tallarines a la marinera, lo primero que tenemos que hacer es limpiar los 12 mejillones y pelar los 12 gambones. Los reservamos en la nevera para utilizarlos más y Comenzamos elaborando la salsa. Para ello, pelamos y picamos finamente la ½ cebolla y laminamos los 2 dientes de ajo. Ponemos la cebolla y los ajos en una cazuela baja con los 10 ml de aceite de oliva virgen extra y los pochamos durante unos minutos a fuego medio .Cuando la cebolla esté transparente, añadimos los 250 g de anillas de calamar. Damos unas vueltas al conjunto para que se mezclen los sabores.
El siguiente paso es añadir 1 cucharadita de azafrán y los 125 ml de vino manzanilla o vino blanco. Dejamos evaporar el alcohol y reducir un poco el líquido.
Añadimos 250 g de tomate triturado. Dejamos cocer la salsa durante unos 30 minutos a fuego bajo, que haga chup-chup, para que las anillas de calamar queden blanditas
Una vez pasado el tiempo indicado, añadimos los 12 gambones reservados y dejamos que se cocinen durante un par de minutos a fuego bajo. A continuación, añadimos los 12 mejillones limpios, subimos el fuego y tapamos la cazuela. Dejamos que se abran los mejillones con el propio calor de la cazuela y reservamos la salsa tapada hasta el momento del emplatado.
Ponemos al fuego una olla con abundante agua y una cucharadita de sal y cocemos los 300 g de tallarines durante el tiempo indicado en el paquete para que queden al dente. Los añadimos a los tallarines la salsa marinera reservada. Mezclamos bien el conjunto para que la pasta coja el sabor de la salsa. escurrimos.
Servimos los tallarines a la marinera recién hechos, espolvoreados con una cucharadita de perejil seco.
","2022-09-15 12:29:23","2022-09-15 12:29:23",https://imag.bonviveur.com/presentacion-principal-de-los-tallarines-a-la-marinera.webp,1,5
